measure,case,session,phase,outcome
WIF_ICPM,108,1,0,17
WIF_ICPM,108,2,0,18
WIF_ICPM,108,3,0,21
WIF_ICPM,108,4,0,14
WIF_ICPM,108,5,0,17
WIF_ICPM,108,6,0,8
WIF_ICPM,108,7,1,12
WIF_ICPM,108,8,1,12
WIF_ICPM,108,9,1,5
WIF_ICPM,108,10,1,8
WIF_ICPM,108,11,1,6
WIF_ICPM,108,12,1,12
WIF_ICPM,108,13,1,12
WIF_ICPM,108,14,1,7
WIF_ICPM,108,15,1,12
WIF_ICPM,108,16,1,17
WIF_ICPM,113,1,0,12
WIF_ICPM,113,2,0,9
WIF_ICPM,113,3,0,8
WIF_ICPM,113,4,1,17
WIF_ICPM,113,5,1,6
WIF_ICPM,113,6,1,17
WIF_ICPM,113,7,1,8
WIF_ICPM,113,8,1,11
WIF_ICPM,113,9,1,7
WIF_ICPM,113,10,1,9
WIF_ICPM,113,11,1,11
WIF_ICPM,113,12,1,12
WIF_ICPM,113,13,1,12
WIF_ICPM,113,14,1,10
WIF_ICPM,113,15,1,14
WIF_ICPM,113,16,1,14
WIF_ICPM,113,17,1,14
WIF_ICPM,113,18,1,8
WIF_ICPM,116,1,0,16
WIF_ICPM,116,2,0,14
WIF_ICPM,116,3,0,7
WIF_ICPM,116,4,0,15
WIF_ICPM,116,5,1,21
WIF_ICPM,116,6,1,23
WIF_ICPM,116,7,1,14
WIF_ICPM,116,8,1,15
WIF_ICPM,116,9,1,18
WIF_ICPM,116,10,1,20
WIF_ICPM,116,11,1,27
WIF_ICPM,116,12,1,19
WIF_ICPM,116,13,1,26
WIF_ICPM,116,14,1,19
WIF_ICPM,117,1,0,5
